dateTime,sampleTimeSeconds,LPOPmMid,LPOPm10,ratioPmMid,ratioPm10,concentrationPmMid,concentrationPm2_5,concentrationPm10
2020-08-19 01:25:18.253087,30,2576236,5504792,8.59,18.35,4882.47,10176.31,15058.78
2020-08-19 01:25:48.274691,30,2147984,4410932,7.16,14.70,3932.74,6388.39,10321.14
2020-08-19 01:26:18.296442,30,4012816,6785640,13.38,22.62,8908.83,13638.66,22547.48
2020-08-19 01:26:48.318190,30,3545672,6463684,11.82,21.55,7431.68,13010.59,20442.27
2020-08-19 01:27:18.339889,30,2443700,4905736,8.15,16.35,4578.76,7718.97,12297.72
2020-08-19 01:27:48.361630,30,2112800,4759832,7.04,15.87,3858.57,7829.27,11687.84
2020-08-19 01:28:18.383353,30,6702360,9447632,22.34,31.49,21987.61,24975.86,46963.47
2020-08-19 01:28:48.404998,30,5383040,8358592,17.94,27.86,14462.69,20868.12,35330.80
2020-08-19 01:29:18.426624,30,2448996,4987564,8.16,16.63,4590.72,8059.39,12650.11
2020-08-19 01:29:48.448244,30,2203000,4667424,7.34,15.56,4049.82,7263.67,11313.50
2020-08-19 01:30:18.469971,30,6267876,9022156,20.89,30.07,19238.24,22883.78,42122.02
2020-08-19 01:30:48.491704,30,5873360,9272140,19.58,30.91,16979.06,27939.79,44918.85
2020-08-19 01:31:18.513268,30,2481112,5325376,8.27,17.75,4663.55,9523.21,14186.76
2020-08-19 01:31:48.534985,30,2048392,4730860,6.83,15.77,3724.17,7845.32,11569.49
2020-08-19 01:32:18.556500,30,6283136,9060980,20.94,30.20,19330.06,23217.54,42547.60
2020-08-19 01:32:48.578316,30,5574736,8227312,18.58,27.42,15409.65,18682.02,34091.67
2020-08-19 01:33:18.599979,30,2301192,5104784,7.67,17.02,4262.23,8905.94,13168.17
2020-08-19 01:33:48.621634,30,1913820,4615360,6.38,15.38,3448.84,7657.73,11106.58
2020-08-19 01:34:18.643480,30,5412792,8600020,18.04,28.67,14606.65,23091.45,37698.10
2020-08-19 01:34:48.680465,30,8789984,11353716,29.30,37.85,39643.32,34221.25,73864.57
2020-08-19 01:35:18.702151,30,6596176,9082372,21.99,30.27,21289.37,21494.09,42783.46
2020-08-19 01:35:48.724028,30,10274740,13275224,34.25,44.25,57544.55,53339.06,110883.61
2020-08-19 01:36:18.745832,30,6791284,9740496,22.64,32.47,22585.82,27943.02,50528.84
2020-08-19 01:36:48.767625,30,8227384,11271188,27.42,37.57,34092.33,38417.27,72509.60
2020-08-19 01:37:18.789405,30,6844836,9688856,22.82,32.30,22952.08,26933.94,49886.02
2020-08-19 01:37:48.811393,30,11198744,14090780,37.33,46.97,71335.16,58687.57,130022.73
2020-08-19 01:38:18.848720,30,11113916,14195496,37.05,47.32,69977.59,62661.70,132639.30
2020-08-19 01:38:48.870634,30,11005416,13794836,36.68,45.98,68268.80,54557.47,122826.27
2020-08-19 01:39:18.892418,30,6767380,9658032,22.56,32.19,22423.79,27081.45,49505.25
